<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2012.12.07	1.60415	1.60604	1.60016	1.60374	55445	0	5
2012.12.10	1.60335	1.60960	1.60130	1.60747	46446	0	4
2012.12.11	1.60743	1.61207	1.60685	1.61145	49632	0	6
2012.12.12	1.61146	1.61708	1.60943	1.61371	52561	0	6
2012.12.13	1.61370	1.61527	1.60845	1.61102	51590	0	4
2012.12.14	1.61101	1.61768	1.61030	1.61718	51933	0	6
2012.12.17	1.61796	1.62159	1.61568	1.61981	49365	0	5
2012.12.18	1.61979	1.62686	1.61948	1.62450	48318	0	6
2012.12.19	1.62454	1.63061	1.62379	1.62493	55493	0	5
2012.12.20	1.62496	1.62954	1.62412	1.62750	53755	0	8
2012.12.21	1.62755	1.62758	1.61512	1.61686	57777	0	9
2012.12.24	1.61569	1.62055	1.61006	1.61320	37739	0	4
2012.12.26	1.61262	1.61701	1.61070	1.61328	36363	0	10
2012.12.27	1.61335	1.62018	1.60662	1.61005	54446	0	9
2012.12.28	1.61006	1.61699	1.60781	1.61455	44096	0	9
2012.12.31	1.61644	1.62737	1.61331	1.62409	37577	0	6
2013.01.01	1.62426	1.62569	1.62245	1.62513	1213	0	16
2013.01.02	1.62517	1.63806	1.62248	1.62519	72806	0	6
2013.01.03	1.62518	1.62529	1.60572	1.60825	48285	0	6
2013.01.04	1.60822	1.60985	1.60099	1.60678	49710	0	2
2013.01.07	1.60770	1.61275	1.60205	1.61266	47491	0	10
2013.01.08	1.61265	1.61266	1.60285	1.60580	46960	0	7
2013.01.09	1.60577	1.60745	1.59925	1.60164	48890	0	6
2013.01.10	1.60163	1.61761	1.60038	1.61625	57297	0	7
2013.01.11	1.61629	1.61699	1.60888	1.61271	50853	0	6
2013.01.14	1.61277	1.61542	1.60316	1.60725	50512	0	7
2013.01.15	1.60722	1.61001	1.60323	1.60597	60638	0	2
2013.01.16	1.60598	1.60800	1.59752	1.59975	58007	0	10
2013.01.17	1.59977	1.60388	1.59549	1.59965	62096	0	10
2013.01.18	1.59964	1.59976	1.58540	1.58660	60040	0	6
2013.01.21	1.58528	1.58932	1.58057	1.58349	46861	0	6
2013.01.22	1.58350	1.58830	1.58092	1.58374	59866	0	7
2013.01.23	1.58374	1.58916	1.58015	1.58299	54863	0	9
2013.01.24	1.58298	1.58506	1.57557	1.57894	55151	0	6
2013.01.25	1.57897	1.58265	1.57453	1.57955	55334	0	8
2013.01.28	1.57777	1.57852	1.56742	1.56901	51300	0	6
2013.01.29	1.56898	1.57732	1.56896	1.57568	51625	0	9
2013.01.30	1.57568	1.58151	1.57257	1.57945	55078	0	8
2013.01.31	1.57946	1.58748	1.57745	1.58587	54861	0	10
2013.02.01	1.58588	1.58782	1.56897	1.56913	61632	0	8
2013.02.04	1.57036	1.57713	1.56929	1.57498	52970	0	9
2013.02.05	1.57498	1.58039	1.56304	1.56602	58701	0	7
2013.02.06	1.56601	1.56776	1.56303	1.56626	53654	0	6
2013.02.07	1.56625	1.57674	1.56447	1.57132	61930	0	8
2013.02.08	1.57131	1.58430	1.57046	1.57969	55947	0	6
2013.02.11	1.57896	1.58094	1.56453	1.56481	51118	0	8
2013.02.12	1.56480	1.56826	1.55734	1.56777	56112	0	5
2013.02.13	1.56775	1.56884	1.55236	1.55372	54307	0	6
2013.02.14	1.55373	1.55423	1.54746	1.54943	53243	0	6
2013.02.15	1.54944	1.55494	1.54622	1.55162	36231	0	6
2013.02.18	1.54990	1.55076	1.54377	1.54687	30857	0	6
2013.02.19	1.54687	1.55035	1.54141	1.54214	29314	0	6
2013.02.20	1.54216	1.54501	1.51927	1.52365	34814	0	6
2013.02.21	1.52368	1.52731	1.51305	1.52512	38712	0	6
2013.02.22	1.52511	1.53192	1.51605	1.51605	32582	0	6
2013.02.25	1.51072	1.51978	1.50868	1.51628	43525	0	6
2013.02.26	1.51627	1.52183	1.51131	1.51289	41781	0	6
2013.02.27	1.51290	1.51876	1.50803	1.51601	37734	0	6
2013.02.28	1.51599	1.52216	1.51486	1.51669	33602	0	6
2013.03.01	1.51672	1.51853	1.49857	1.50365	35976	0	6
2013.03.04	1.50302	1.51162	1.50000	1.51140	15844	0	4
2013.03.05	1.51140	1.51982	1.50940	1.51252	14373	0	6
2013.03.06	1.51254	1.51524	1.49659	1.49826	26220	0	2
2013.03.07	1.49824	1.50821	1.49673	1.50119	49989	0	1
2013.03.08	1.50118	1.50468	1.48864	1.49222	34841	0	1
2013.03.11	1.49077	1.49428	1.48657	1.49088	33624	0	1
2013.03.12	1.49086	1.49157	1.48287	1.48969	41195	0	1
2013.03.13	1.48971	1.49812	1.48921	1.49196	44758	0	1
2013.03.14	1.49196	1.51183	1.49148	1.50829	50541	0	1
2013.03.15	1.50828	1.51762	1.50683	1.51128	48825	0	1
2013.03.18	1.51099	1.51436	1.50710	1.50934	53289	0	1
2013.03.19	1.50933	1.51441	1.50729	1.50920	54273	0	1
2013.03.20	1.50919	1.51858	1.50267	1.50914	55074	0	1
2013.03.21	1.50915	1.52089	1.50878	1.51710	52481	0	1
2013.03.22	1.51714	1.52474	1.51714	1.52269	44737	0	1
2013.03.25	1.52344	1.52599	1.51433	1.51752	52992	0	1
2013.03.26	1.51750	1.52070	1.51351	1.51632	43615	0	1
2013.03.27	1.51631	1.51810	1.50925	1.51276	44933	0	1
2013.03.28	1.51275	1.52004	1.51118	1.51908	45674	0	1
2013.03.29	1.51907	1.52182	1.51771	1.51958	28016	0	4
2013.04.01	1.51970	1.52414	1.51774	1.52261	24266	0	1
2013.04.02	1.52261	1.52583	1.50987	1.51043	42226	0	1
2013.04.03	1.51041	1.51580	1.50750	1.51320	39703	0	1
2013.04.04	1.51319	1.52453	1.50332	1.52280	50964	0	1
2013.04.05	1.52285	1.53630	1.51990	1.53357	47209	0	1
2013.04.08	1.53294	1.53502	1.52386	1.52646	42403	0	1
2013.04.09	1.52646	1.53413	1.52499	1.53187	46081	0	1
2013.04.10	1.53187	1.53427	1.52924	1.53265	41823	0	4
2013.04.11	1.53265	1.54113	1.53171	1.53850	46975	0	1
2013.04.12	1.53845	1.54094	1.53372	1.53393	42731	0	1
2013.04.15	1.53381	1.53844	1.52698	1.52918	52647	0	1
2013.04.16	1.52920	1.53788	1.52725	1.53659	54658	0	1
2013.04.17	1.53659	1.53688	1.52164	1.52412	55989	0	1
2013.04.18	1.52410	1.53124	1.52177	1.52797	50671	0	1
2013.04.19	1.52796	1.53675	1.52239	1.52288	46114	0	1
2013.04.22	1.52311	1.52952	1.52035	1.52875	40967	0	1
2013.04.23	1.52869	1.52973	1.51963	1.52363	44410	0	3
2013.04.24	1.52362	1.52871	1.52261	1.52651	42656	0	2
2013.04.25	1.52652	1.54800	1.52645	1.54341	46727	0	1
2013.04.26	1.54341	1.54984	1.54185	1.54746	41159	0	1
2013.04.29	1.54835	1.55456	1.54766	1.54932	36564	0	1
2013.04.30	1.54932	1.55673	1.54675	1.55351	38913	0	1
2013.05.01	1.55353	1.56051	1.55259	1.55541	38792	0	1
2013.05.02	1.55546	1.55904	1.54963	1.55324	44261	0	1
2013.05.03	1.55324	1.56014	1.54808	1.55683	42189	0	3
